trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
6,comedy,-1,2.0304541585011027,5,1,0.0,0,0,0
7,drama,-1,2.463889594596691,5,2,0.9,1,0,0
8,drama,-1,2.5790788246081147,5,1,0.4,0,0,0
9,drama,-1,2.204741526847782,3,2,0.3,0,0,0
10,history,0,2.165700690342798,9,4,0.7,1,0,0
11,history,0,1.9483307825665632,5,1,0.1,0,0,0
12,history,0,1.1638474759170645,6,1,0.8,1,0,0
13,horror,0,1.7166748823532747,5,1,0.0,0,0,0
14,horror,0,1.6281511044881904,4,2,0.0,0,0,0
15,horror,0,1.6584654690446805,5,1,0.0,0,0,1
16,romance,-1,1.6566402347713889,5,1,0.0,0,0,0
17,romance,-1,2.297117505918466,5,1,0.0,0,0,0
18,romance,-1,2.400713058618621,5,1,0.1,0,0,0
19,scifi,1,1.398257214503998,6,3,1.0,1,0,0
20,scifi,1,1.3684496714240757,5,2,0.9,1,0,0
21,scifi,1,1.3451783958505832,5,1,0.0,0,0,0
1,action,0,3.286907324501944,5,5,0.5,1,1,0
2,action,0,2.1079811987943136,5,5,0.1,0,0,0
3,action,0,3.812622048684556,5,5,0.0,0,0,0
4,comedy,1,2.690700898664,5,5,0.2,0,0,0
5,comedy,1,2.72558666480182,7,4,0.3,0,0,0
6,comedy,1,2.0729815732635744,5,5,0.2,0,0,0
7,drama,0,2.396622183214567,3,7,0.7,1,0,0
8,drama,0,2.4706587770808066,4,5,0.3,0,0,0
9,drama,0,2.6116998086082863,3,4,0.7,1,0,0
10,history,1,2.3476542933427877,5,5,0.2,0,0,0
11,history,1,2.691818264532857,7,3,0.6,1,0,0
12,history,1,3.498636067887298,6,2,0.4,0,0,0
13,horror,-1,2.1200641905204622,5,6,0.1,0,1,0
14,horror,-1,2.8669280858815123,5,5,0.0,0,0,0
15,horror,-1,3.0394593567873045,5,6,0.1,0,0,0
16,romance,1,2.40397621344837,7,3,0.6,1,0,0
17,romance,1,2.4472524461618264,7,3,0.6,1,0,0
18,romance,1,2.507042913571177,5,5,0.3,0,0,0
19,scifi,1,2.8459656435700724,3,5,1.0,1,1,1
20,scifi,1,2.975795108073073,5,4,0.0,0,0,0
21,scifi,1,2.413474173385566,5,5,0.2,0,0,0
1,action,1,1.889407206511111,7,5,1.0,1,1,1
2,action,1,2.0199938221746527,7,2,0.4,0,0,0
3,action,1,1.9540764672824915,7,5,0.3,0,0,0
4,comedy,1,2.2330647907752934,6,2,0.0,0,0,0
5,comedy,1,2.399545314777771,5,1,0.0,0,0,0
6,comedy,1,1.660658079557386,7,5,0.6,1,0,0
7,drama,0,1.807617408117278,7,7,0.7,1,0,0
8,drama,0,2.4651669920788613,4,2,0.3,0,0,0
9,drama,0,2.277273733837014,3,1,0.1,0,0,0
10,history,-1,2.014902373658109,7,8,0.9,1,0,0
11,history,-1,1.7337639209450926,5,1,0.0,0,0,0
12,history,-1,2.8033227572344823,6,2,0.5,1,0,0
13,horror,0,3.129669317626098,5,8,0.3,0,0,0
14,horror,0,2.3543293022416827,8,8,0.1,0,0,0
15,horror,0,2.311760840644314,3,6,0.0,0,0,0
16,romance,0,2.9367981952346063,5,1,0.1,0,0,0
17,romance,0,2.1448940933978764,3,5,0.0,0,0,0
18,romance,0,2.425596122745574,5,1,0.0,0,0,0
19,scifi,1,2.436235466915536,6,4,0.2,0,1,0
20,scifi,1,4.3713788500143576,3,2,0.1,0,0,0
21,scifi,1,2.444596426811042,5,3,0.8,1,0,0
2,action,-1,2.25270477086583,6,4,0.8,1,0,0
5,comedy,0,2.0496401843803915,9,6,0.8,1,0,0
6,comedy,0,2.3496685291996147,6,5,0.3,0,0,0
8,drama,0,1.9569034102597491,5,2,0.0,0,0,0
9,drama,0,2.355860884905523,3,6,0.4,0,0,0
11,history,-1,2.4550746199269096,8,1,0.0,0,0,0
12,history,-1,2.4271678753835477,8,6,0.9,1,0,0
13,horror,1,2.0133405678238443,5,5,0.9,1,0,0
14,horror,1,3.600267831493639,8,8,1.0,1,0,0
15,horror,1,1.8719735929342904,7,7,1.0,1,0,1
18,romance,0,2.987360859965499,6,2,0.0,0,0,0
21,scifi,1,3.005396197254417,5,2,1.0,1,0,1
